State,year,rate,rate_type,age
KS,2005,297.5,rate_abortions,1517
KY,2005,175.2,rate_abortions,1517
LA,2005,204.7,rate_abortions,1517
MA,2005,1018.2,rate_abortions,1517
MD,2005,780.4,rate_abortions,1517
ME,2005,710.1,rate_abortions,1517
MI,2005,671.5,rate_abortions,1517
MN,2005,462.9,rate_abortions,1517
MO,2005,270.9,rate_abortions,1517
MS,2005,171.9,rate_abortions,1517
MT,2005,555.1,rate_abortions,1517
NC,2005,342.2,rate_abortions,1517
ND,2005,320.4,rate_abortions,1517
NE,2005,257.6,rate_abortions,1517
NH,2005,836.1,rate_abortions,1517
NJ,2005,2036.0,rate_abortions,1517
NM,2005,321.7,rate_abortions,1517
NV,2005,594.4,rate_abortions,1517
NY,2005,2060.4,rate_abortions,1517
OH,2005,441.0,rate_abortions,1517
OK,2005,215.3,rate_abortions,1517
OR,2005,615.8,rate_abortions,1517
PA,2005,486.4,rate_abortions,1517
RI,2005,687.3,rate_abortions,1517
SC,2005,406.4,rate_abortions,1517
SD,2005,202.3,rate_abortions,1517
TN,2005,244.6,rate_abortions,1517
TX,2005,186.5,rate_abortions,1517
US,2005,540.7,rate_abortions,1517
UT,2005,212.9,rate_abortions,1517
VA,2005,570.3,rate_abortions,1517
VT,2005,1161.0,rate_abortions,1517
WA,2005,824.2,rate_abortions,1517
WI,2005,370.5,rate_abortions,1517
WV,2005,228.1,rate_abortions,1517
WY,2005,383.4,rate_abortions,1517
AK,2005,359.1,rate_abortions,1819
AL,2005,235.7,rate_abortions,1819
AR,2005,123.1,rate_abortions,1819
AZ,2005,322.1,rate_abortions,1819
CA,2005,652.8,rate_abortions,1819
CO,2005,397.2,rate_abortions,1819
CT,2005,992.5,rate_abortions,1819
DC,2005,1150.4,rate_abortions,1819
DE,2005,550.2,rate_abortions,1819
FL,2005,543.5,rate_abortions,1819
GA,2005,266.1,rate_abortions,1819
HI,2005,562.3,rate_abortions,1819
IA,2005,304.7,rate_abortions,1819
ID,2005,210.1,rate_abortions,1819
IL,2005,437.1,rate_abortions,1819
IN,2005,215.4,rate_abortions,1819
KS,2005,209.6,rate_abortions,1819
KY,2005,111.6,rate_abortions,1819
LA,2005,198.9,rate_abortions,1819
MA,2005,957.9,rate_abortions,1819
MD,2005,777.5,rate_abortions,1819
ME,2005,433.1,rate_abortions,1819
MI,2005,572.2,rate_abortions,1819
MN,2005,393.6,rate_abortions,1819
MO,2005,265.1,rate_abortions,1819
MS,2005,200.4,rate_abortions,1819
MT,2005,292.4,rate_abortions,1819
NC,2005,323.3,rate_abortions,1819
ND,2005,263.9,rate_abortions,1819
NE,2005,222.0,rate_abortions,1819
NH,2005,521.1,rate_abortions,1819
NJ,2005,1354.4,rate_abortions,1819
NM,2005,268.3,rate_abortions,1819
NV,2005,532.6,rate_abortions,1819
NY,2005,1359.2,rate_abortions,1819
OH,2005,335.3,rate_abortions,1819
OK,2005,171.5,rate_abortions,1819
OR,2005,436.0,rate_abortions,1819
PA,2005,487.4,rate_abortions,1819
RI,2005,739.8,rate_abortions,1819
SC,2005,281.8,rate_abortions,1819
SD,2005,129.7,rate_abortions,1819
TN,2005,213.1,rate_abortions,1819
TX,2005,226.5,rate_abortions,1819
US,2005,451.6,rate_abortions,1819
UT,2005,173.4,rate_abortions,1819
VA,2005,506.2,rate_abortions,1819
VT,2005,791.3,rate_abortions,1819
WA,2005,566.2,rate_abortions,1819
WI,2005,295.6,rate_abortions,1819
WV,2005,188.2,rate_abortions,1819
WY,2005,236.2,rate_abortions,1819
AK,2005,393.4,rate_abortions,1519
AL,2005,248.0,rate_abortions,1519
AR,2005,145.2,rate_abortions,1519
AZ,2005,302.7,rate_abortions,1519
CA,2005,680.5,rate_abortions,1519
CO,2005,395.2,rate_abortions,1519
CT,2005,1142.6,rate_abortions,1519
DC,2005,1289.7,rate_abortions,1519
DE,2005,618.8,rate_abortions,1519
FL,2005,583.9,rate_abortions,1519
GA,2005,284.6,rate_abortions,1519
HI,2005,689.2,rate_abortions,1519
IA,2005,331.3,rate_abortions,1519
ID,2005,238.6,rate_abortions,1519
IL,2005,496.9,rate_abortions,1519
IN,2005,225.1,rate_abortions,1519
KS,2005,234.6,rate_abortions,1519
KY,2005,130.6,rate_abortions,1519
LA,2005,200.7,rate_abortions,1519
MA,2005,977.0,rate_abortions,1519
MD,2005,778.4,rate_abortions,1519
ME,2005,505.8,rate_abortions,1519
MI,2005,603.6,rate_abortions,1519
MN,2005,413.4,rate_abortions,1519
MO,2005,266.8,rate_abortions,1519
MS,2005,191.0,rate_abortions,1519
MT,2005,369.6,rate_abortions,1519
NC,2005,329.4,rate_abortions,1519
ND,2005,278.9,rate_abortions,1519
NE,2005,233.5,rate_abortions,1519
NH,2005,596.3,rate_abortions,1519
NJ,2005,1572.0,rate_abortions,1519
NM,2005,287.6,rate_abortions,1519
NV,2005,553.9,rate_abortions,1519
NY,2005,1578.8,rate_abortions,1519
OH,2005,367.4,rate_abortions,1519
OK,2005,184.7,rate_abortions,1519
OR,2005,488.0,rate_abortions,1519
PA,2005,487.1,rate_abortions,1519
RI,2005,722.9,rate_abortions,1519
SC,2005,323.0,rate_abortions,1519
SD,2005,151.9,rate_abortions,1519
TN,2005,222.7,rate_abortions,1519
TX,2005,212.4,rate_abortions,1519
US,2005,480.2,rate_abortions,1519
UT,2005,184.8,rate_abortions,1519
VA,2005,524.6,rate_abortions,1519
VT,2005,884.6,rate_abortions,1519
WA,2005,641.4,rate_abortions,1519
WI,2005,317.7,rate_abortions,1519
WV,2005,199.7,rate_abortions,1519
WY,2005,273.6,rate_abortions,1519
AK,2005,401.3,rate_abortions,lt20
AL,2005,255.1,rate_abortions,lt20
AR,2005,151.4,rate_abortions,lt20
AZ,2005,306.8,rate_abortions,lt20
CA,2005,693.8,rate_abortions,lt20
CO,2005,404.4,rate_abortions,lt20
CT,2005,1175.4,rate_abortions,lt20
DC,2005,1329.8,rate_abortions,lt20
DE,2005,632.4,rate_abortions,lt20
FL,2005,594.2,rate_abortions,lt20
GA,2005,293.6,rate_abortions,lt20
HI,2005,700.9,rate_abortions,lt20
IA,2005,338.2,rate_abortions,lt20
ID,2005,243.2,rate_abortions,lt20
IL,2005,505.1,rate_abortions,lt20
IN,2005,227.9,rate_abortions,lt20
KS,2005,239.3,rate_abortions,lt20
KY,2005,134.6,rate_abortions,lt20
LA,2005,207.3,rate_abortions,lt20
MA,2005,990.5,rate_abortions,lt20
MD,2005,789.5,rate_abortions,lt20
ME,2005,512.7,rate_abortions,lt20
MI,2005,616.7,rate_abortions,lt20
MN,2005,418.8,rate_abortions,lt20
MO,2005,275.3,rate_abortions,lt20
MS,2005,199.5,rate_abortions,lt20
MT,2005,370.1,rate_abortions,lt20
NC,2005,339.3,rate_abortions,lt20
ND,2005,278.6,rate_abortions,lt20
NE,2005,237.5,rate_abortions,lt20
NH,2005,609.1,rate_abortions,lt20
NJ,2005,1602.6,rate_abortions,lt20
NM,2005,290.1,rate_abortions,lt20
NV,2005,557.4,rate_abortions,lt20
NY,2005,1608.1,rate_abortions,lt20
OH,2005,376.9,rate_abortions,lt20
OK,2005,187.3,rate_abortions,lt20
OR,2005,493.8,rate_abortions,lt20
PA,2005,497.3,rate_abortions,lt20
RI,2005,723.2,rate_abortions,lt20
SC,2005,328.4,rate_abortions,lt20
SD,2005,151.8,rate_abortions,lt20
TN,2005,230.0,rate_abortions,lt20
TX,2005,213.1,rate_abortions,lt20
US,2005,489.1,rate_abortions,lt20
UT,2005,186.4,rate_abortions,lt20
VA,2005,532.5,rate_abortions,lt20
VT,2005,892.8,rate_abortions,lt20
WA,2005,652.5,rate_abortions,lt20
WI,2005,323.2,rate_abortions,lt20
WV,2005,201.2,rate_abortions,lt20
WY,2005,279.3,rate_abortions,lt20
AK,2005,243.0,rate_abortions,2024
AL,2005,198.0,rate_abortions,2024
AR,2005,132.8,rate_abortions,2024
AZ,2005,258.4,rate_abortions,2024
CA,2005,539.4,rate_abortions,2024
CO,2005,303.2,rate_abortions,2024
CT,2005,812.9,rate_abortions,2024
DC,2005,1090.4,rate_abortions,2024
DE,2005,503.4,rate_abortions,2024
FL,2005,476.0,rate_abortions,2024
GA,2005,258.9,rate_abortions,2024
HI,2005,402.6,rate_abortions,2024
IA,2005,207.0,rate_abortions,2024
ID,2005,106.2,rate_abortions,2024
IL,2005,374.5,rate_abortions,2024
IN,2005,183.9,rate_abortions,2024
KS,2005,169.7,rate_abortions,2024
KY,2005,120.0,rate_abortions,2024
LA,2005,183.0,rate_abortions,2024
MA,2005,764.3,rate_abortions,2024
MD,2005,724.4,rate_abortions,2024
ME,2005,270.9,rate_abortions,2024
MI,2005,421.4,rate_abortions,2024
MN,2005,304.2,rate_abortions,2024
MO,2005,221.7,rate_abortions,2024
MS,2005,203.4,rate_abortions,2024
MT,2005,208.4,rate_abortions,2024
NC,2005,307.1,rate_abortions,2024
ND,2005,140.1,rate_abortions,2024
NE,2005,155.2,rate_abortions,2024
NH,2005,369.8,rate_abortions,2024
NJ,2005,977.6,rate_abortions,2024
NM,2005,267.3,rate_abortions,2024
NV,2005,401.6,rate_abortions,2024
NY,2005,933.6,rate_abortions,2024
OH,2005,288.2,rate_abortions,2024
OK,2005,150.2,rate_abortions,2024
OR,2005,331.2,rate_abortions,2024
PA,2005,396.3,rate_abortions,2024
RI,2005,639.1,rate_abortions,2024
SC,2005,251.9,rate_abortions,2024
SD,2005,106.3,rate_abortions,2024
TN,2005,217.5,rate_abortions,2024
TX,2005,266.4,rate_abortions,2024
US,2005,380.7,rate_abortions,2024
UT,2005,79.4,rate_abortions,2024
VA,2005,424.4,rate_abortions,2024
VT,2005,460.1,rate_abortions,2024
WA,2005,397.1,rate_abortions,2024
WI,2005,232.1,rate_abortions,2024
WV,2005,141.7,rate_abortions,2024
WY,2005,169.5,rate_abortions,2024
AK,2005,157.7,rate_abortions,2529
AL,2005,148.8,rate_abortions,2529
AR,2005,108.7,rate_abortions,2529
AZ,2005,162.6,rate_abortions,2529
CA,2005,338.6,rate_abortions,2529
CO,2005,167.6,rate_abortions,2529
CT,2005,404.1,rate_abortions,2529
DC,2005,907.1,rate_abortions,2529
DE,2005,301.0,rate_abortions,2529
FL,2005,336.2,rate_abortions,2529
GA,2005,210.4,rate_abortions,2529
HI,2005,242.7,rate_abortions,2529
IA,2005,108.0,rate_abortions,2529
ID,2005,86.5,rate_abortions,2529
IL,2005,234.4,rate_abortions,2529
IN,2005,119.8,rate_abortions,2529
KS,2005,113.4,rate_abortions,2529
KY,2005,85.6,rate_abortions,2529
LA,2005,152.7,rate_abortions,2529
MA,2005,340.5,rate_abortions,2529
MD,2005,474.9,rate_abortions,2529
ME,2005,154.3,rate_abortions,2529
MI,2005,243.3,rate_abortions,2529
MN,2005,147.8,rate_abortions,2529
MO,2005,150.0,rate_abortions,2529
MS,2005,176.0,rate_abortions,2529
MT,2005,116.4,rate_abortions,2529
NC,2005,217.2,rate_abortions,2529
ND,2005,69.3,rate_abortions,2529
NE,2005,80.9,rate_abortions,2529
NH,2005,175.7,rate_abortions,2529
NJ,2005,516.9,rate_abortions,2529
NM,2005,199.8,rate_abortions,2529
NV,2005,288.6,rate_abortions,2529
NY,2005,556.8,rate_abortions,2529
OH,2005,184.3,rate_abortions,2529
OK,2005,116.9,rate_abortions,2529
OR,2005,205.4,rate_abortions,2529
PA,2005,217.1,rate_abortions,2529
RI,2005,320.8,rate_abortions,2529
SC,2005,189.9,rate_abortions,2529
SD,2005,60.4,rate_abortions,2529
TN,2005,166.8,rate_abortions,2529
TX,2005,208.5,rate_abortions,2529
US,2005,251.2,rate_abortions,2529
UT,2005,47.4,rate_abortions,2529
VA,2005,262.2,rate_abortions,2529
VT,2005,215.6,rate_abortions,2529
WA,2005,224.0,rate_abortions,2529
WI,2005,111.4,rate_abortions,2529
WV,2005,108.2,rate_abortions,2529
WY,2005,121.2,rate_abortions,2529
AK,2005,128.1,rate_abortions,3034
AL,2005,137.0,rate_abortions,3034
AR,2005,127.6,rate_abortions,3034
AZ,2005,132.2,rate_abortions,3034
CA,2005,224.4,rate_abortions,3034
CO,2005,122.4,rate_abortions,3034
CT,2005,187.3,rate_abortions,3034
DC,2005,502.1,rate_abortions,3034
DE,2005,184.9,rate_abortions,3034
FL,2005,247.4,rate_abortions,3034
GA,2005,169.0,rate_abortions,3034
HI,2005,172.8,rate_abortions,3034
IA,2005,96.2,rate_abortions,3034
ID,2005,72.7,rate_abortions,3034
IL,2005,165.3,rate_abortions,3034
IN,2005,106.2,rate_abortions,3034
KS,2005,92.7,rate_abortions,3034
KY,2005,83.0,rate_abortions,3034
LA,2005,128.5,rate_abortions,3034
MA,2005,166.6,rate_abortions,3034
MD,2005,284.1,rate_abortions,3034
ME,2005,106.8,rate_abortions,3034
MI,2005,192.4,rate_abortions,3034
MN,2005,104.0,rate_abortions,3034
MO,2005,134.0,rate_abortions,3034
MS,2005,154.8,rate_abortions,3034
MT,2005,114.0,rate_abortions,3034
NC,2005,161.4,rate_abortions,3034
ND,2005,54.0,rate_abortions,3034
NE,2005,67.3,rate_abortions,3034
NH,2005,98.2,rate_abortions,3034
NJ,2005,250.5,rate_abortions,3034
NM,2005,166.8,rate_abortions,3034
NV,2005,250.1,rate_abortions,3034
NY,2005,345.9,rate_abortions,3034
OH,2005,138.8,rate_abortions,3034
OK,2005,118.5,rate_abortions,3034
OR,2005,166.1,rate_abortions,3034
PA,2005,148.2,rate_abortions,3034
RI,2005,195.3,rate_abortions,3034
SC,2005,182.0,rate_abortions,3034
SD,2005,60.9,rate_abortions,3034
TN,2005,148.1,rate_abortions,3034
TX,2005,164.4,rate_abortions,3034
US,2005,184.7,rate_abortions,3034
UT,2005,48.9,rate_abortions,3034
VA,2005,171.4,rate_abortions,3034
VT,2005,120.9,rate_abortions,3034
WA,2005,162.4,rate_abortions,3034
WI,2005,85.9,rate_abortions,3034
WV,2005,97.1,rate_abortions,3034
WY,2005,139.1,rate_abortions,3034
AK,2005,151.1,rate_abortions,3539
AL,2005,167.7,rate_abortions,3539
AR,2005,177.7,rate_abortions,3539
AZ,2005,175.2,rate_abortions,3539
CA,2005,237.4,rate_abortions,3539
CO,2005,152.2,rate_abortions,3539
CT,2005,190.6,rate_abortions,3539
DC,2005,402.3,rate_abortions,3539
DE,2005,247.0,rate_abortions,3539
FL,2005,282.8,rate_abortions,3539
GA,2005,196.2,rate_abortions,3539
HI,2005,182.8,rate_abortions,3539
IA,2005,128.5,rate_abortions,3539
ID,2005,130.9,rate_abortions,3539
IL,2005,187.2,rate_abortions,3539
IN,2005,141.8,rate_abortions,3539
KS,2005,122.9,rate_abortions,3539
KY,2005,132.4,rate_abortions,3539
LA,2005,170.2,rate_abortions,3539
MA,2005,199.1,rate_abortions,3539
MD,2005,289.4,rate_abortions,3539
ME,2005,131.1,rate_abortions,3539
MI,2005,244.7,rate_abortions,3539
MN,2005,135.5,rate_abortions,3539
MO,2005,194.2,rate_abortions,3539
MS,2005,163.3,rate_abortions,3539
MT,2005,145.5,rate_abortions,3539
NC,2005,187.4,rate_abortions,3539
ND,2005,90.1,rate_abortions,3539
NE,2005,102.3,rate_abortions,3539
NH,2005,143.7,rate_abortions,3539
NJ,2005,258.4,rate_abortions,3539
NM,2005,193.3,rate_abortions,3539
NV,2005,325.2,rate_abortions,3539
NY,2005,363.7,rate_abortions,3539
OH,2005,175.6,rate_abortions,3539
OK,2005,168.0,rate_abortions,3539
OR,2005,207.2,rate_abortions,3539
PA,2005,178.0,rate_abortions,3539
RI,2005,192.6,rate_abortions,3539
SC,2005,219.4,rate_abortions,3539
SD,2005,82.5,rate_abortions,3539
TN,2005,182.8,rate_abortions,3539
TX,2005,204.2,rate_abortions,3539
US,2005,217.7,rate_abortions,3539
UT,2005,87.9,rate_abortions,3539
VA,2005,188.1,rate_abortions,3539
VT,2005,161.8,rate_abortions,3539
WA,2005,196.9,rate_abortions,3539
WI,2005,111.8,rate_abortions,3539
WV,2005,121.0,rate_abortions,3539
WY,2005,216.7,rate_abortions,3539
AK,2005,257.9,rate_abortions,40plus
AL,2005,259.0,rate_abortions,40plus
AR,2005,265.1,rate_abortions,40plus
AZ,2005,304.6,rate_abortions,40plus
CA,2005,344.3,rate_abortions,40plus
CO,2005,294.7,rate_abortions,40plus
CT,2005,272.0,rate_abortions,40plus
DC,2005,520.0,rate_abortions,40plus
DE,2005,372.1,rate_abortions,40plus
FL,2005,428.5,rate_abortions,40plus
GA,2005,303.3,rate_abortions,40plus
HI,2005,288.2,rate_abortions,40plus
IA,2005,258.9,rate_abortions,40plus
ID,2005,229.5,rate_abortions,40plus
IL,2005,305.0,rate_abortions,40plus
IN,2005,229.6,rate_abortions,40plus
KS,2005,204.2,rate_abortions,40plus
KY,2005,223.6,rate_abortions,40plus
LA,2005,281.3,rate_abortions,40plus
MA,2005,317.4,rate_abortions,40plus
MD,2005,370.1,rate_abortions,40plus
ME,2005,313.6,rate_abortions,40plus
MI,2005,362.4,rate_abortions,40plus
MN,2005,219.4,rate_abortions,40plus
MO,2005,365.7,rate_abortions,40plus
MS,2005,333.5,rate_abortions,40plus
MT,2005,248.2,rate_abortions,40plus
NC,2005,310.8,rate_abortions,40plus
ND,2005,219.8,rate_abortions,40plus
NE,2005,208.8,rate_abortions,40plus
NH,2005,264.5,rate_abortions,40plus
NJ,2005,430.4,rate_abortions,40plus
NM,2005,329.8,rate_abortions,40plus
NV,2005,484.9,rate_abortions,40plus
NY,2005,536.6,rate_abortions,40plus
OH,2005,290.5,rate_abortions,40plus
OK,2005,278.2,rate_abortions,40plus
OR,2005,411.4,rate_abortions,40plus
PA,2005,307.1,rate_abortions,40plus
RI,2005,387.6,rate_abortions,40plus
SC,2005,389.2,rate_abortions,40plus
SD,2005,138.3,rate_abortions,40plus
TN,2005,258.8,rate_abortions,40plus
TX,2005,369.2,rate_abortions,40plus
US,2005,351.3,rate_abortions,40plus
UT,2005,135.9,rate_abortions,40plus
VA,2005,304.3,rate_abortions,40plus
VT,2005,389.9,rate_abortions,40plus
WA,2005,344.2,rate_abortions,40plus
WI,2005,220.0,rate_abortions,40plus
WV,2005,175.2,rate_abortions,40plus
WY,2005,371.6,rate_abortions,40plus
AK,2006,,rate_abortions,lt15
AL,2006,566.7,rate_abortions,lt15
AR,2006,518.0,rate_abortions,lt15
AZ,2006,728.2,rate_abortions,lt15
CA,2006,1668.5,rate_abortions,lt15
CO,2006,741.9,rate_abortions,lt15
CT,2006,3185.4,rate_abortions,lt15
DC,2006,1824.9,rate_abortions,lt15
DE,2006,1632.0,rate_abortions,lt15
FL,2006,1343.5,rate_abortions,lt15
GA,2006,571.2,rate_abortions,lt15
HI,2006,2296.7,rate_abortions,lt15
IA,2006,1113.1,rate_abortions,lt15
ID,2006,961.5,rate_abortions,lt15
IL,2006,1241.9,rate_abortions,lt15
IN,2006,670.5,rate_abortions,lt15
KS,2006,596.5,rate_abortions,lt15
KY,2006,529.6,rate_abortions,lt15
LA,2006,531.8,rate_abortions,lt15
MA,2006,1441.0,rate_abortions,lt15
MD,2006,1097.5,rate_abortions,lt15
ME,2006,1538.0,rate_abortions,lt15
MI,2006,1266.9,rate_abortions,lt15
MN,2006,1036.8,rate_abortions,lt15
MO,2006,932.3,rate_abortions,lt15
MS,2006,262.9,rate_abortions,lt15
MT,2006,1584.3,rate_abortions,lt15
NC,2006,621.7,rate_abortions,lt15
ND,2006,,rate_abortions,lt15
NE,2006,344.9,rate_abortions,lt15
NH,2006,,rate_abortions,lt15
NJ,2006,2552.3,rate_abortions,lt15
NM,2006,422.3,rate_abortions,lt15
NV,2006,856.0,rate_abortions,lt15
NY,2006,3642.7,rate_abortions,lt15
OH,2006,1228.1,rate_abortions,lt15
OK,2006,431.0,rate_abortions,lt15
OR,2006,1363.3,rate_abortions,lt15
PA,2006,1077.8,rate_abortions,lt15
RI,2006,1782.5,rate_abortions,lt15
SC,2006,525.5,rate_abortions,lt15
SD,2006,,rate_abortions,lt15
TN,2006,613.7,rate_abortions,lt15
TX,2006,479.4,rate_abortions,lt15
US,2006,1034.7,rate_abortions,lt15
UT,2006,471.1,rate_abortions,lt15
VA,2006,1120.6,rate_abortions,lt15
VT,2006,,rate_abortions,lt15
WA,2006,1098.7,rate_abortions,lt15
WI,2006,567.8,rate_abortions,lt15
WV,2006,822.4,rate_abortions,lt15
WY,2006,,rate_abortions,lt15
AK,2006,417.1,rate_abortions,1517
AL,2006,260.7,rate_abortions,1517
AR,2006,216.1,rate_abortions,1517
AZ,2006,250.4,rate_abortions,1517
CA,2006,735.1,rate_abortions,1517
CO,2006,376.9,rate_abortions,1517
CT,2006,1482.1,rate_abortions,1517
DC,2006,1287.1,rate_abortions,1517
DE,2006,881.7,rate_abortions,1517
FL,2006,638.1,rate_abortions,1517
GA,2006,279.6,rate_abortions,1517
HI,2006,951.2,rate_abortions,1517
IA,2006,408.3,rate_abortions,1517
ID,2006,411.6,rate_abortions,1517
IL,2006,569.5,rate_abortions,1517
IN,2006,233.4,rate_abortions,1517
KS,2006,304.1,rate_abortions,1517
KY,2006,163.6,rate_abortions,1517
LA,2006,226.6,rate_abortions,1517
MA,2006,1057.3,rate_abortions,1517
MD,2006,709.9,rate_abortions,1517
ME,2006,734.7,rate_abortions,1517
MI,2006,626.2,rate_abortions,1517
MN,2006,454.2,rate_abortions,1517
MO,2006,280.5,rate_abortions,1517
MS,2006,145.3,rate_abortions,1517
MT,2006,401.9,rate_abortions,1517
NC,2006,344.8,rate_abortions,1517
ND,2006,247.6,rate_abortions,1517
NE,2006,223.6,rate_abortions,1517
NH,2006,772.5,rate_abortions,1517
NJ,2006,1752.1,rate_abortions,1517
NM,2006,353.1,rate_abortions,1517
NV,2006,593.6,rate_abortions,1517
NY,2006,2070.7,rate_abortions,1517
OH,2006,433.6,rate_abortions,1517
OK,2006,167.8,rate_abortions,1517
OR,2006,612.4,rate_abortions,1517
PA,2006,519.3,rate_abortions,1517
RI,2006,604.3,rate_abortions,1517
SC,2006,370.2,rate_abortions,1517
SD,2006,170.7,rate_abortions,1517
TN,2006,261.0,rate_abortions,1517
TX,2006,224.9,rate_abortions,1517
US,2006,529.8,rate_abortions,1517
UT,2006,192.1,rate_abortions,1517
VA,2006,499.8,rate_abortions,1517
VT,2006,1013.5,rate_abortions,1517
WA,2006,780.2,rate_abortions,1517
WI,2006,331.6,rate_abortions,1517
WV,2006,185.7,rate_abortions,1517
WY,2006,354.4,rate_abortions,1517
AK,2006,331.4,rate_abortions,1819
AL,2006,215.7,rate_abortions,1819
AR,2006,146.0,rate_abortions,1819
AZ,2006,266.4,rate_abortions,1819
CA,2006,630.5,rate_abortions,1819
CO,2006,399.8,rate_abortions,1819
CT,2006,1030.0,rate_abortions,1819
DC,2006,889.3,rate_abortions,1819
DE,2006,614.2,rate_abortions,1819
FL,2006,528.0,rate_abortions,1819
GA,2006,254.8,rate_abortions,1819
HI,2006,550.7,rate_abortions,1819
IA,2006,290.2,rate_abortions,1819
ID,2006,201.5,rate_abortions,1819
IL,2006,412.0,rate_abortions,1819
IN,2006,200.1,rate_abortions,1819
KS,2006,204.6,rate_abortions,1819
KY,2006,122.2,rate_abortions,1819
LA,2006,210.3,rate_abortions,1819
MA,2006,886.6,rate_abortions,1819
MD,2006,678.8,rate_abortions,1819
ME,2006,381.5,rate_abortions,1819
MI,2006,502.5,rate_abortions,1819
MN,2006,361.8,rate_abortions,1819
MO,2006,260.7,rate_abortions,1819
MS,2006,171.9,rate_abortions,1819
MT,2006,265.9,rate_abortions,1819
NC,2006,305.1,rate_abortions,1819
ND,2006,244.1,rate_abortions,1819
NE,2006,183.4,rate_abortions,1819
NH,2006,515.1,rate_abortions,1819
NJ,2006,1282.1,rate_abortions,1819
NM,2006,272.3,rate_abortions,1819
NV,2006,460.5,rate_abortions,1819
NY,2006,1272.5,rate_abortions,1819
OH,2006,320.3,rate_abortions,1819
OK,2006,160.5,rate_abortions,1819
OR,2006,428.7,rate_abortions,1819
PA,2006,482.8,rate_abortions,1819
RI,2006,776.0,rate_abortions,1819
SC,2006,262.7,rate_abortions,1819
SD,2006,129.0,rate_abortions,1819
TN,2006,249.7,rate_abortions,1819
TX,2006,258.1,rate_abortions,1819
US,2006,440.1,rate_abortions,1819
UT,2006,174.9,rate_abortions,1819
VA,2006,491.4,rate_abortions,1819
VT,2006,596.6,rate_abortions,1819
WA,2006,549.0,rate_abortions,1819
WI,2006,283.8,rate_abortions,1819
WV,2006,163.0,rate_abortions,1819
WY,2006,211.7,rate_abortions,1819
AK,2006,355.8,rate_abortions,1519
AL,2006,229.9,rate_abortions,1519
AR,2006,167.2,rate_abortions,1519
AZ,2006,260.8,rate_abortions,1519
CA,2006,664.6,rate_abortions,1519
CO,2006,391.9,rate_abortions,1519
CT,2006,1173.6,rate_abortions,1519
DC,2006,1039.0,rate_abortions,1519
DE,2006,696.8,rate_abortions,1519
