Geographic Region and State,Median cost of medication abortion services 2017,Median cost of medication abortion services 2018,Median cost of medication abortion services 2019,Median cost of medication abortion services 2020,Median cost of medication abortion services 2021,Median cost of medication abortion services 2022,Median cost of medication abortion services 2023,Median cost of first trimester procedural abortion services 2017,Median cost of first trimester procedural abortion services 2018,Median cost of first trimester procedural abortion services 2019,Median cost of first trimester procedural abortion services 2020,Median cost of first trimester procedural abortion services 2021,Median cost of first trimester procedural abortion services 2022,Median cost of first trimester procedural abortion services 2023,Median cost of second trimester procedural abortion services 2017,Median cost of second trimester procedural abortion services 2018,Median cost of second trimester procedural abortion services 2019,Median cost of second trimester procedural abortion services 2020,Median cost of second trimester procedural abortion services 2021,Median cost of second trimester procedural abortion services 2022,Median cost of second trimester procedural abortion services 2023
District of Columbia,*,475,460,425,425,282,237,*,419,395,510,543,514,614,*,*,*,888,825,1403,1403
Florida,465,465,550,550,546,550,565,400,400,550,550,550,565,565,1038,1350,*,838,650,513,800
Georgia,450,475,475,500,500,500,500,495,495,503,528,520,535,550,530,530,*,750,*,*,--
Maryland,375,375,390,390,390,400,450,388,375,406,433,443,450,650,498,460,*,670,922,910,1263
North Carolina,375,413,458,420,425,425,600,395,390,380,400,425,425,625,970,970,*,1075,465,465,440
South Carolina,*,550,620,620,495,495,625,*,550,620,620,495,495,625,*,*,*,695,*,*,950
Virginia,395,415,440,433,450,450,450,380,513,449,428,450,500,515,973,1036,*,814,850,738,860
West Virginia,*,541,725,495,495,--,150,*,496,725,525,625,--,#,*,*,*,*,*,--,#
East South Central,588,550,600,600,600,--,150,650,600,600,650,701,--,#,800,750,*,900,800,--,#
Alabama,*,525,575,525,600,--,150,*,500,500,500,700,--,#,*,650,*,*,800,--,#
Kentucky,650,650,700,700,767,--,150,750,750,800,800,857,--,#,*,*,*,1475,*,--,#
Mississippi,*,600,600,600,600,--,150,*,600,600,650,650,--,#,*,750,*,763,750,--,#
Tennessee,550,550,600,600,600,--,150,638,638,675,663,701,--,#,800,800,*,900,850,--,#
West South Central,556,590,650,650,650,--,150,550,578,650,688,715,--,#,950,850,*,938,800,--,#
Arkansas,*,700,575,722,722,--,150,*,600,650,625,1300,--,#,*,*,*,*,*,--,#
Louisiana,493,500,700,600,600,--,150,600,594,600,963,963,--,#,2200,1480,*,*,*,--,#
Oklahoma,*,590,600,638,650,--,150,*,590,625,638,725,--,#,*,700,*,1100,750,--,#
Texas,581,581,600,685,700,--,150,538,538,700,734,715,--,#,900,900,*,938,850,--,#
West,575,575,650,650,650,669,612,500,500,664,700,750,750,785,1675,1525,*,1170,926,926,1300
Mountain,465,490,520,540,550,560,555,465,465,560,600,676,670,662,738,1275,*,1500,1525,800,1375
Arizona,*,460,590,605,540,570,720,*,480,620,620,701,860,926,*,1703,*,1510,1568,1590,1150
Colorado,465,465,520,458,458,560,600,413,458,560,540,750,560,600,738,738,*,1500,2100,780,850
Idaho,650,650,650,650,650,--,150,650,575,575,575,657,--,#,*,*,*,*,*,--,#
Montana,*,600,799,550,555,555,350,*,700,917,800,795,795,800,*,*,*,850,*,*,*
Nevada,500,500,500,570,600,600,600,495,495,550,663,860,1214,650,1238,1238,*,*,*,*,2325
New Mexico,*,450,490,540,560,560,470,*,470,508,625,560,560,750,*,1125,*,1125,725,800,1625
Utah,*,*,450,450,450,450,525,*,*,450,450,500,450,525,*,*,*,1475,*,*,550
Wyoming,678,675,675,750,600,475,350,1099,950,*,1200,*,#,675,*,*,*,*,*,#,2600
Pacific,575,575,659,680,700,700,650,500,500,700,700,750,750,805,1675,1675,*,1027,926,926,1300
Alaska,800,650,800,800,800,800,800,835,650,800,800,800,800,800,*,750,*,900,*,*,*
California,575,575,680,680,700,700,612,500,500,700,700,750,750,885,1675,1675,*,1170,926,926,1364
Hawaii,*,845,845,845,850,850,293,*,845,845,845,950,950,900,*,845,*,1027,1300,1300,1300
Oregon,520,520,550,625,650,600,700,520,520,550,700,700,700,836,*,*,*,2650,925,925,3025
Washington,650,650,650,650,650,650,650,650,650,650,650,650,650,662,763,763,*,*,*,4850,750
