Geographic Region and State,Facilities (n) 2017,Facilities (n) 2018,Facilities (n) 2019,Facilities (n) 2020,Facilities (n) 2021,Facilities (n) 2022,Facilities (n) 2023,Women of Reproductive Age (15-49 years) per facility 2017,Women of Reproductive Age (15-49 years) per facility 2018,Women of Reproductive Age (15-49 years) per facility 2019,Women of Reproductive Age (15-49 years) per facility 2020,Women of Reproductive Age (15-49 years) per facility 2021,Women of Reproductive Age (15-49 years) per facility 2022,Women of Reproductive Age (15-49 years) per facility 2023
Arizona,8,8,8,8,8,8,9,"195,832","198,634","201,690","201,690","201,690","201,690","181,815"
Colorado,21,21,19,23,25,24,33,"62,508","63,547","71,121","58,752","54,052","56,304","41,885"
Idaho,4,4,4,4,4,0,2,"94,879","96,762","98,720","98,720","98,720",--,"217,428"
Montana,5,5,6,6,7,9,11,"43,972","44,347","37,214","37,214","31,898","24,809","21,704"
Nevada,8,8,7,9,10,10,14,"84,725","86,164","99,847","77,659","69,893","69,893","51,531"
New Mexico,5,5,5,5,6,8,23,"91,227","91,169","91,212","91,212","76,010","57,008","20,320"
Utah,2,2,2,2,2,4,6,"378,477","386,483","394,241","394,241","394,241","197,120","140,533"
Wyoming,2,2,2,2,1,2,5,"61,597","61,443","61,534","61,534","123,068","61,534","24,753"
Pacific,205,201,209,216,220,238,269,"60,709","62,009","59,624","57,692","56,643","52,359","45,851"
Alaska,6,6,6,5,5,4,5,"27,404","27,138","26,917","32,300","32,300","40,376","32,836"
California,151,149,157,163,168,183,193,"61,856","62,619","59,266","57,085","55,386","50,846","47,256"
Hawaii,3,3,3,3,3,3,8,"100,437","99,798","99,090","99,090","99,090","99,090","37,707"
Oregon,12,12,12,13,14,15,23,"78,433","79,147","79,760","73,625","68,366","63,808","41,777"
Washington,33,31,31,32,30,33,40,"51,459","55,535","56,153","54,398","58,024","52,749","44,672"
